일자|시간|구분,공급량
2019-01-01 01 A,2303.4773034513896
2019-01-01 02 A,2024.3154838872063
2019-01-01 03 A,1883.4716836902567
2019-01-01 04 A,1970.9165348404622
2019-01-01 05 A,2182.2607597312535
2019-01-01 06 A,2337.6254167228963
2019-01-01 07 A,2664.5570971121174
2019-01-01 08 A,3250.830156811886
2019-01-01 09 A,3433.482051736552
2019-01-01 10 A,3218.3642896829715
2019-01-01 11 A,3023.676208726897
2019-01-01 12 A,2779.343449689304
2019-01-01 13 A,2556.0016218892106
2019-01-01 14 A,2436.252542147186
2019-01-01 15 A,2260.6623093583876
2019-01-01 16 A,2165.8639433928456
2019-01-01 17 A,2250.3751122189105
2019-01-01 18 A,2564.9807634183508
2019-01-01 19 A,2942.0872705670718
2019-01-01 20 A,3010.9303458054337
2019-01-01 21 A,2915.14148089137
2019-01-01 22 A,2838.522986874223
2019-01-01 23 A,2723.614488553436
2019-01-01 24 A,2539.322993243496
2019-01-02 01 A,2254.7286873409885
2019-01-02 02 A,1981.0889680582723
2019-01-02 03 A,1833.005766289269
2019-01-02 04 A,1892.7275892756597
2019-01-02 05 A,2102.6737889782908
2019-01-02 06 A,2255.6222225583037
2019-01-02 07 A,2536.0996903204955
2019-01-02 08 A,3091.608245729376
2019-01-02 09 A,3223.54433410784
2019-01-02 10 A,3034.417122512177
2019-01-02 11 A,2877.35094053214
2019-01-02 12 A,2647.600943604906
2019-01-02 13 A,2444.5459738199133
2019-01-02 14 A,2338.849267118143
2019-01-02 15 A,2184.1427942061114
2019-01-02 16 A,2106.52768668519
2019-01-02 17 A,2203.9833431293846
2019-01-02 18 A,2500.2338118367556
2019-01-02 19 A,2829.1883432102286
2019-01-02 20 A,2885.056640208961
2019-01-02 21 A,2805.4874157439817
2019-01-02 22 A,2742.182217524266
2019-01-02 23 A,2618.353112550236
2019-01-02 24 A,2449.0156326220886
2019-01-03 01 A,2167.686797335902
2019-01-03 02 A,1891.068393938012
2019-01-03 03 A,1761.0620788097935
2019-01-03 04 A,1821.1933448301127
2019-01-03 05 A,2020.2079380115779
2019-01-03 06 A,2193.755641764998
2019-01-03 07 A,2504.298720464736
2019-01-03 08 A,3033.8312863172914
2019-01-03 09 A,3162.1401982404295
2019-01-03 10 A,2950.358991244504
2019-01-03 11 A,2809.7892196305934
2019-01-03 12 A,2593.181924812574
2019-01-03 13 A,2404.677635346776
2019-01-03 14 A,2293.8480053323956
2019-01-03 15 A,2148.912763492407
2019-01-03 16 A,2065.55806031405
2019-01-03 17 A,2151.443272857999
2019-01-03 18 A,2441.0482391222613
2019-01-03 19 A,2782.322896358046
2019-01-03 20 A,2863.053666010567
2019-01-03 21 A,2791.212587923913
2019-01-03 22 A,2721.3457256812762
2019-01-03 23 A,2593.8047130345667
2019-01-03 24 A,2432.7653678392767
2019-01-04 01 A,2173.186889791004
2019-01-04 02 A,1899.9070182222863
2019-01-04 03 A,1779.498071375156
2019-01-04 04 A,1838.4810877096434
2019-01-04 05 A,2051.547435694189
2019-01-04 06 A,2234.520721932046
2019-01-04 07 A,2566.467018788182
2019-01-04 08 A,3113.036088056102
2019-01-04 09 A,3238.514000467907
2019-01-04 10 A,3025.939265579022
2019-01-04 11 A,2850.8460800595867
2019-01-04 12 A,2614.019114683987
2019-01-04 13 A,2414.6251423483127
2019-01-04 14 A,2324.1689759936144
2019-01-04 15 A,2191.3849996452054
2019-01-04 16 A,2114.6628175866467
2019-01-04 17 A,2210.8257229238043
2019-01-04 18 A,2452.7697183425353
2019-01-04 19 A,2745.602695675264
2019-01-04 20 A,2771.127652371645
2019-01-04 21 A,2674.2332008127732
2019-01-04 22 A,2587.0813307593735
2019-01-04 23 A,2484.394240795883
2019-01-04 24 A,2355.7579845828177
2019-01-05 01 A,2142.349244665226
2019-01-05 02 A,1887.8453051732495
2019-01-05 03 A,1755.5533200683617
2019-01-05 04 A,1803.5795126835148
2019-01-05 05 A,1966.9304431434143
2019-01-05 06 A,2052.5996184395003
2019-01-05 07 A,2125.9780422305525
2019-01-05 08 A,2395.4318025145653
2019-01-05 09 A,2649.6169406367453
2019-01-05 10 A,2714.0865898922034
2019-01-05 11 A,2627.978046761282
2019-01-05 12 A,2427.1328536245114
2019-01-05 13 A,2193.5763370502864
2019-01-05 14 A,2048.413833257368
2019-01-05 15 A,1929.0134313134042
2019-01-05 16 A,1879.28288297483
2019-01-05 17 A,1967.0436168757897
2019-01-05 18 A,2282.1164428357138
2019-01-05 19 A,2630.587576426772
2019-01-05 20 A,2597.2711540887863
2019-01-05 21 A,2467.637373387346
2019-01-05 22 A,2383.515073500143
2019-01-05 23 A,2329.0207039046545
2019-01-05 24 A,2221.6015235952505
2019-01-06 01 A,2020.5796208360143
2019-01-06 02 A,1795.8187062523507
2019-01-06 03 A,1675.6611913572763
2019-01-06 04 A,1719.0622175224144
2019-01-06 05 A,1879.488363313169
2019-01-06 06 A,1916.2328713375741
2019-01-06 07 A,1960.3049133225886
2019-01-06 08 A,2168.831066110814
2019-01-06 09 A,2435.2144443030884
2019-01-06 10 A,2530.6182041063603
2019-01-06 11 A,2461.3577162253896
2019-01-06 12 A,2265.0712223278724
2019-01-06 13 A,2074.898476165601
2019-01-06 14 A,1974.7563764687702
2019-01-06 15 A,1895.0649224843578
2019-01-06 16 A,1869.383454028061
2019-01-06 17 A,1971.4520707662948
2019-01-06 18 A,2306.4488431481136
2019-01-06 19 A,2668.003769995541
2019-01-06 20 A,2646.416785971036
2019-01-06 21 A,2527.699392196334
2019-01-06 22 A,2443.3427222583678
2019-01-06 23 A,2333.5308635769534
2019-01-06 24 A,2196.357800822579
2019-01-07 01 A,1947.0022223999624
2019-01-07 02 A,1698.928085106391
2019-01-07 03 A,1615.3407066557068
2019-01-07 04 A,1703.8168607095713
2019-01-07 05 A,1926.834732806387
2019-01-07 06 A,2139.4500797001792
2019-01-07 07 A,2485.9914022301778
2019-01-07 08 A,3037.1650936234682
2019-01-07 09 A,3193.1280127561604
2019-01-07 10 A,2999.98247057189
2019-01-07 11 A,2842.5175499204647
2019-01-07 12 A,2627.1098830021847
2019-01-07 13 A,2409.4488118339505
2019-01-07 14 A,2301.268263161667
2019-01-07 15 A,2130.023222212676
2019-01-07 16 A,2032.7524025714988
2019-01-07 17 A,2109.0051111780494
2019-01-07 18 A,2392.148638079181
2019-01-07 19 A,2672.6476145449737
2019-01-07 20 A,2712.488990139802
2019-01-07 21 A,2633.958595524582
2019-01-07 22 A,2568.3617138805266
2019-01-07 23 A,2450.037591802876
2019-01-07 24 A,2278.2966414791563
2019-01-08 01 A,2024.7560328718196
2019-01-08 02 A,1775.5339961882057
2019-01-08 03 A,1660.0453803147316
2019-01-08 04 A,1711.3089829966975
2019-01-08 05 A,1913.2171241139577
2019-01-08 06 A,2066.966880375947
2019-01-08 07 A,2346.7928287459895
2019-01-08 08 A,2860.872240478274
2019-01-08 09 A,3006.6220060578244
2019-01-08 10 A,2804.875273586057
2019-01-08 11 A,2609.8242761519323
2019-01-08 12 A,2382.4423918395196
2019-01-08 13 A,2207.950174661697
2019-01-08 14 A,2081.319902277645
2019-01-08 15 A,1908.4304132786042
2019-01-08 16 A,1808.78505985735
2019-01-08 17 A,1871.49121611548
2019-01-08 18 A,2139.4742992186
2019-01-08 19 A,2510.7143546074203
2019-01-08 20 A,2584.5931401976713
2019-01-08 21 A,2510.4182844082225
2019-01-08 22 A,2457.0515084362164
2019-01-08 23 A,2345.4581614519666
2019-01-08 24 A,2183.1342570599127
2019-01-09 01 A,1922.7934430815485
2019-01-09 02 A,1665.1740535394006
2019-01-09 03 A,1532.2950492520245
2019-01-09 04 A,1575.5029068062327
2019-01-09 05 A,1778.2526602544146
2019-01-09 06 A,1914.498988881714
2019-01-09 07 A,2188.85963400086
2019-01-09 08 A,2692.398337640274
2019-01-09 09 A,2801.278584032275
2019-01-09 10 A,2595.70536444368
2019-01-09 11 A,2462.020730809354
2019-01-09 12 A,2262.7583598664405
2019-01-09 13 A,2105.6918772623985
2019-01-09 14 A,2017.252204685642
2019-01-09 15 A,1877.5602628019476
2019-01-09 16 A,1793.4465147845226
2019-01-09 17 A,1867.9462092076487
2019-01-09 18 A,2147.14305368728
2019-01-09 19 A,2496.084480048443
2019-01-09 20 A,2577.117845537413
2019-01-09 21 A,2511.1802305689775
2019-01-09 22 A,2446.21795940475
2019-01-09 23 A,2338.0513542513763
2019-01-09 24 A,2197.4174199726895
2019-01-10 01 A,1951.9571674347535
2019-01-10 02 A,1698.4726756101802
2019-01-10 03 A,1568.560665096087
2019-01-10 04 A,1616.1321684868199
2019-01-10 05 A,1813.9111216752422
2019-01-10 06 A,1970.2819696498063
2019-01-10 07 A,2235.566302092355
2019-01-10 08 A,2727.26032018343
2019-01-10 09 A,2880.0127436415723
2019-01-10 10 A,2677.3566471603262
2019-01-10 11 A,2523.142912733512
2019-01-10 12 A,2301.209309943619
2019-01-10 13 A,2112.472228483467
2019-01-10 14 A,2009.4749177943409
2019-01-10 15 A,1875.4072055583367
2019-01-10 16 A,1808.7038299533683
2019-01-10 17 A,1884.8786725343557
2019-01-10 18 A,2154.4057363214015
2019-01-10 19 A,2503.2486898536945
2019-01-10 20 A,2582.1984336457954
2019-01-10 21 A,2512.7037867437457
2019-01-10 22 A,2456.6790633976716
2019-01-10 23 A,2347.3933903599964
2019-01-10 24 A,2207.3321782186185
2019-01-11 01 A,1976.8395072545609
2019-01-11 02 A,1724.4030563243023
2019-01-11 03 A,1600.2802304406748
2019-01-11 04 A,1659.824448263369
2019-01-11 05 A,1851.6757294346962
2019-01-11 06 A,2003.3486958387598
2019-01-11 07 A,2277.6208534404004
2019-01-11 08 A,2733.8383073445384
2019-01-11 09 A,2889.8716262242247
